"cn","c0","c0t","c0_class_realm","c1","c1_class_biome","c2","ct","c2_class_ecosystem_functional_group","c3","c3_class_occurrence","raster","vector","tname","note"
15051,1,"T","Terrestrial",5,"Deserts and semi-deserts",5,"T5.5","Hyper-arid deserts",1,"major","T5.5.web.mix_v1.0.tif","T5.5.web.mix_v1.0.json","t5_5_web_mix_v1_0",NULL
15052,1,"T","Terrestrial",5,"Deserts and semi-deserts",5,"T5.5","Hyper-arid deserts",2,"minor","T5.5.web.mix_v1.0.tif","T5.5.web.mix_v1.0.json","t5_5_web_mix_v1_0",NULL
16011,1,"T","Terrestrial",6,"Polar-alpine",1,"T6.1","Ice sheets, glaciers and perennial snowfields",1,"major","T6.1.web.map_v1.0.tif","T6.1.web.map_v1.0.json","t6_1_web_map_v1_0",NULL
16012,1,"T","Terrestrial",6,"Polar-alpine",1,"T6.1","Ice sheets, glaciers and perennial snowfields",2,"minor","T6.1.web.map_v1.0.tif","T6.1.web.map_v1.0.json","t6_1_web_map_v1_0",NULL
16021,1,"T","Terrestrial",6,"Polar-alpine",2,"T6.2","Polar-alpine rocky outcrops",1,"major","T6.2.web.alt_v2.0.tif","T6.2.web.alt_v2.0.json","t6_2_web_alt_v2_0",NULL
16022,1,"T","Terrestrial",6,"Polar-alpine",2,"T6.2","Polar-alpine rocky outcrops",2,"minor","T6.2.web.alt_v2.0.tif","T6.2.web.alt_v2.0.json","t6_2_web_alt_v2_0",NULL
16031,1,"T","Terrestrial",6,"Polar-alpine",3,"T6.3","Polar tundra and deserts",1,"major","T6.3.web.map_v1.0.tif","T6.3.web.map_v1.0.json","t6_3_web_map_v1_0",NULL
16032,1,"T","Terrestrial",6,"Polar-alpine",3,"T6.3","Polar tundra and deserts",2,"minor","T6.3.web.map_v1.0.tif","T6.3.web.map_v1.0.json","t6_3_web_map_v1_0",NULL
16041,1,"T","Terrestrial",6,"Polar-alpine",4,"T6.4","Temperate alpine grasslands and shrublands",1,"major","T6.4.web.orig_v1.0.tif","T6.4.web.orig_v1.0.json","t6_4_web_orig_v1_0",NULL
16042,1,"T","Terrestrial",6,"Polar-alpine",4,"T6.4","Temperate alpine grasslands and shrublands",2,"minor","T6.4.web.orig_v1.0.tif","T6.4.web.orig_v1.0.json","t6_4_web_orig_v1_0",NULL
16051,1,"T","Terrestrial",6,"Polar-alpine",5,"T6.5","Tropical alpine grasslands and shrublands",1,"major","T6.5.web.mix_v1.0.tif","T6.5.web.mix_v1.0.json","t6_5_web_mix_v1_0",NULL
16052,1,"T","Terrestrial",6,"Polar-alpine",5,"T6.5","Tropical alpine grasslands and shrublands",2,"minor","T6.5.web.mix_v1.0.tif","T6.5.web.mix_v1.0.json","t6_5_web_mix_v1_0",NULL
17011,1,"T","Terrestrial",7,"Intensive land-use systems",1,"T7.1","Croplands",1,"major","T7.1.web.alt_v2.0.tif","T7.1.web.alt_v2.0.json","t7_1_web_alt_v2_0",NULL
17012,1,"T","Terrestrial",7,"Intensive land-use systems",1,"T7.1","Croplands",2,"minor","T7.1.web.alt_v2.0.tif","T7.1.web.alt_v2.0.json","t7_1_web_alt_v2_0",NULL
17021,1,"T","Terrestrial",7,"Intensive land-use systems",2,"T7.2","Intensive livestock pastures",1,"major","T7.2.web.map_v1.0.tif","T7.2.web.map_v1.0.json","t7_2_web_map_v1_0",NULL
17022,1,"T","Terrestrial",7,"Intensive land-use systems",2,"T7.2","Intensive livestock pastures",2,"minor","T7.2.web.map_v1.0.tif","T7.2.web.map_v1.0.json","t7_2_web_map_v1_0",NULL
17031,1,"T","Terrestrial",7,"Intensive land-use systems",3,"T7.3","Plantations",1,"major","T7.3.web.alt_v2.0.tif","T7.3.web.alt_v2.0.json","t7_3_web_alt_v2_0",NULL
17032,1,"T","Terrestrial",7,"Intensive land-use systems",3,"T7.3","Plantations",2,"minor","T7.3.web.alt_v2.0.tif","T7.3.web.alt_v2.0.json","t7_3_web_alt_v2_0",NULL
17041,1,"T","Terrestrial",7,"Intensive land-use systems",4,"T7.4","Cities, villages and infrastructure",1,"major","T7.4.web.orig_v1.0.tif","T7.4.web.orig_v1.0.json","t7_4_web_orig_v1_0",NULL
17042,1,"T","Terrestrial",7,"Intensive land-use systems",4,"T7.4","Cities, villages and infrastructure",2,"minor","T7.4.web.orig_v1.0.tif","T7.4.web.orig_v1.0.json","t7_4_web_orig_v1_0",NULL
17051,1,"T","Terrestrial",7,"Intensive land-use systems",5,"T7.5","Derived semi-natural pastures and oldfields",1,"major","T7.5.web.mix_v1.0.tif","T7.5.web.mix_v1.0.json","t7_5_web_mix_v1_0",NULL
17052,1,"T","Terrestrial",7,"Intensive land-use systems",5,"T7.5","Derived semi-natural pastures and oldfields",2,"minor","T7.5.web.mix_v1.0.tif","T7.5.web.mix_v1.0.json","t7_5_web_mix_v1_0",NULL
21011,2,"S","Subterranean",1,"Subterranean lithic systems",1,"S1.1","Aerobic caves",1,"major","S1.1.web.orig_v1.0.tif","S1.1.web.orig_v1.0.json","s1_1_web_orig_v1_0",NULL
21012,2,"S","Subterranean",1,"Subterranean lithic systems",1,"S1.1","Aerobic caves",2,"minor","S1.1.web.orig_v1.0.tif","S1.1.web.orig_v1.0.json","s1_1_web_orig_v1_0",NULL
21021,2,"S","Subterranean",1,"Subterranean lithic systems",2,"S1.2","Endolithic systems",1,"major","S1_2_Endolithic_systems.tif","S1_2_Endolithic_systems.json","s1_2_endolithic_systems","old version used"
21022,2,"S","Subterranean",1,"Subterranean lithic systems",2,"S1.2","Endolithic systems",2,"minor","S1_2_Endolithic_systems.tif","S1_2_Endolithic_systems.json","s1_2_endolithic_systems","old version used"
