"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"|"v_sqkm"|"r_sqkm"|"old_first_level_code"|"geom"
10123|"Sulawesi lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"113329.335756015"|"113332.012881086"|10123|NULL
10124|"Sulawesi montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"75471.6862537556"|"75471.6739631715"|10124|NULL
10125|"Trobriand Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"3690.83764219386"|"3690.7590852445"|10125|NULL
10126|"Vanuatu rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"11810.9232118722"|"11809.8123392733"|10126|NULL
10127|"Vogelkop montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"21646.6941831393"|"21646.7637536313"|10127|NULL
10128|"Vogelkop-Aru lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|1|"Australasia"|"teow"|"74697.2292744484"|"74698.036558621"|10128|NULL
10201|"Lesser Sundas deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"38653.548941011"|"38652.071359543"|10201|NULL
10202|"New Caledonia dry forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"4256.5202080272"|"4256.73563603036"|10202|NULL
10203|"Sumba deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"10634.2701927475"|"10634.7000597649"|10203|NULL
10204|"Timor and Wetar deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|1|"Australasia"|"teow"|"32984.2004732532"|"32983.6581395061"|10204|NULL
10401|"Chatham Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"635.553045485408"|"635.509342135898"|10401|NULL
10402|"Eastern Australian temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"221227.722309231"|"221228.54076863"|10402|NULL
10403|"Fiordland temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"10741.7295421046"|"10741.7981190847"|10403|NULL
10404|"Nelson Coast temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"14521.2220785251"|"14520.8822089206"|10404|NULL
10405|"North Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"83234.7520899227"|"83234.9360011265"|10405|NULL
10406|"Northland temperate kauri forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"28328.0889458661"|"28327.6089951984"|10406|NULL
10407|"Rakiura Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"1415.96448743062"|"1415.80901283303"|10407|NULL
10408|"Richmond temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"12596.5099936833"|"12596.2906978276"|10408|NULL
10409|"Southeast Australia temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"271992.668668479"|"271991.887251235"|10409|NULL
10410|"South Island temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"11376.217951719"|"11376.8717601563"|10410|NULL
10411|"Tasmanian Central Highland forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"18698.4450982143"|"18698.4197075988"|10411|NULL
10412|"Tasmanian temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"17937.1535976932"|"17935.7392971614"|10412|NULL
10413|"Tasmanian temperate rain forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"31097.7901863424"|"31097.1230884157"|10413|NULL
10414|"Westland temperate forests"|4|"Temperate Broadleaf & Mixed Forests"|1|"Australasia"|"teow"|"5186.3434280692"|"5185.96593737117"|10414|NULL
10701|"Arnhem Land tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"156925.792065456"|"156922.061906226"|10701|NULL
10702|"Brigalow tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"341457.111860923"|"341456.243100231"|10702|NULL
10703|"Cape York Peninsula tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"115669.8787484"|"115668.178101584"|10703|NULL
10704|"Carpentaria tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"358294.361980793"|"358292.916394403"|10704|NULL
10705|"Einasleigh upland savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"128067.431170961"|"128067.563978031"|10705|NULL
10706|"Kimberly tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"345913.695116611"|"345911.893381974"|10706|NULL
10707|"Mitchell grass downs"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"459495.913233895"|"459495.969335655"|10707|NULL
10708|"Trans Fly savanna and grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"26461.7300840785"|"26461.6772130769"|10708|NULL
10709|"Victoria Plains tropical savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"224881.53998414"|"224881.426418718"|10709|NULL
10801|"Cantebury-Otago tussock grasslands"|8|"Temperate Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"52305.3581078074"|"52306.5009539944"|10801|NULL
10802|"Eastern Australia mulga shrublands"|8|"Temperate Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"253515.374977399"|"253515.427563137"|10802|NULL
10803|"Southeast Australia temperate savanna"|8|"Temperate Grasslands, Savannas & Shrublands"|1|"Australasia"|"teow"|"321998.862012343"|"321998.851135603"|10803|NULL
11001|"Australian Alps montane grasslands"|10|"Montane Grasslands & Shrublands"|1|"Australasia"|"teow"|"11999.4183307892"|"11999.3973595704"|11001|NULL
11002|"Central Range sub-alpine grasslands"|10|"Montane Grasslands & Shrublands"|1|"Australasia"|"teow"|"15502.7597020885"|"15502.8026203408"|11002|NULL
11003|"South Island montane grasslands"|10|"Montane Grasslands & Shrublands"|1|"Australasia"|"teow"|"39990.4707209634"|"39990.5058378806"|11003|NULL
11101|"Antipodes Subantarctic Islands tundra"|11|"Tundra"|1|"Australasia"|"teow"|"643.841757857042"|"643.674094226034"|11101|NULL
11201|"Coolgardie woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"137255.050222869"|"137255.020964829"|11201|NULL
11202|"Esperance mallee"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"115276.977018275"|"115279.491960445"|11202|NULL
11203|"Eyre and York mallee"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"60638.6107240927"|"60637.4377165489"|11203|NULL
11204|"Jarrah-Karri forest and shrublands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"10338.7914625674"|"10339.7957824973"|11204|NULL
11205|"Swan Coastal Plain Scrub and Woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"15158.009626023"|"15157.8854062118"|11205|NULL
11206|"Mount Lofty woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"23658.3704851498"|"23657.4908279719"|11206|NULL
11207|"Murray-Darling woodlands and mallee"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"197880.063298255"|"197875.096850029"|11207|NULL
11208|"Naracoorte woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"27327.1796104058"|"27326.9762606053"|11208|NULL
11209|"Southwest Australia savanna"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"168563.786143483"|"168563.786356309"|11209|NULL
11210|"Southwest Australia woodlands"|12|"Mediterranean Forests, Woodlands & Scrub"|1|"Australasia"|"teow"|"46009.3515791042"|"46009.2268040109"|11210|NULL
11301|"Carnarvon xeric shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"89970.29233694"|"89970.0301175399"|11301|NULL
11302|"Central Ranges xeric scrub"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"281050.878901391"|"281050.734931419"|11302|NULL
11303|"Gibson desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"155523.721844309"|"155523.501993394"|11303|NULL
11304|"Great Sandy-Tanami desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"820766.086429679"|"820766.969073775"|11304|NULL
11305|"Great Victoria desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"423734.038151536"|"423733.989451953"|11305|NULL
11306|"Nullarbor Plains xeric shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"195002.935204223"|"195003.056512516"|11306|NULL
11307|"Pilbara shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"179135.221776371"|"179135.126158125"|11307|NULL
11308|"Simpson desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"583394.408259905"|"583394.267685867"|11308|NULL
11309|"Tirari-Sturt stony desert"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"376478.030704401"|"376478.160280569"|11309|NULL
11310|"Western Australian Mulga shrublands"|13|"Deserts & Xeric Shrublands"|1|"Australasia"|"teow"|"459615.982979258"|"459615.981414624"|11310|NULL
