"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"|"v_sqkm"|"r_sqkm"|"old_first_level_code"|"geom"
30101|"Albertine Rift montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"103403.58326829"|"103403.426073438"|30101|NULL
30102|"Atlantic Equatorial coastal forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"188609.914128679"|"188609.860166273"|30102|NULL
30103|"Cameroonian Highlands forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"37879.4684532424"|"37879.2042595393"|30103|NULL
30104|"Central Congolian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"412881.754148526"|"412881.610958079"|30104|NULL
30105|"Comoros forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"2003.4942083587"|"2003.52121821295"|30105|NULL
30106|"Cross-Niger transition forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"20628.6110560753"|"20628.7257366153"|30106|NULL
30107|"Cross-Sanaga-Bioko coastal forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"51798.6155535972"|"51798.553567967"|30107|NULL
30108|"East African montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"65198.8358498184"|"65198.636289448"|30108|NULL
30109|"Eastern Arc forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"23556.1045065483"|"23556.2883138977"|30109|NULL
30110|"Eastern Congolian swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"92315.1906886334"|"92315.0775371303"|30110|NULL
30111|"Eastern Guinean forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"188766.086693696"|"188766.858209315"|30111|NULL
30112|"Ethiopian montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"247734.342729169"|"247734.45040318"|30112|NULL
30113|"Granitic Seychelles forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"171.929130557486"|"171.749620165509"|30113|NULL
30114|"Guinean montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"30923.5433104413"|"30923.4431732506"|30114|NULL
30115|"Knysna-Amatole montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"3007.35192873284"|"3008.16960762163"|30115|NULL
30116|"KwaZulu-Cape coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"17552.771916839"|"17553.8371150782"|30116|NULL
30117|"Madagascar lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"111368.657419416"|"111366.432527666"|30117|NULL
30118|"Madagascar subhumid forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"198889.786036846"|"198889.537938328"|30118|NULL
30119|"Maputaland coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"29980.446298167"|"29980.3387166558"|30119|NULL
30120|"Mascarene forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"4089.06078618742"|"4089.23256584637"|30120|NULL
30121|"Mount Cameroon and Bioko montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"1141.1126249976"|"1141.16574276951"|30121|NULL
30122|"Niger Delta swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"14343.2884333175"|"14343.2667288379"|30122|NULL
30123|"Nigerian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"66775.4020175475"|"66775.349290947"|30123|NULL
30124|"Northeastern Congolian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"531067.801579119"|"531067.598441811"|30124|NULL
30125|"Northern Zanzibar-Inhambane coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"111874.253742793"|"111874.323057664"|30125|NULL
30126|"Northwestern Congolian lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"432189.965198527"|"432190.125109311"|30126|NULL
30127|"Sao Tome, Principe and Annobon moist lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"937.834564219648"|"937.857688564801"|30127|NULL
30128|"Southern Zanzibar-Inhambane coastal forest mosaic"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"145820.329889892"|"145819.180817356"|30128|NULL
30129|"Western Congolian swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"128060.209976526"|"128060.228846404"|30129|NULL
30130|"Western Guinean lowland forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|3|"Afrotropics"|"teow"|"203975.842527866"|"203977.170191366"|30130|NULL
30201|"Cape Verde Islands dry forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|3|"Afrotropics"|"teow"|"3665.9260523909"|"3666.26709301918"|30201|NULL
30202|"Madagascar dry deciduous forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|3|"Afrotropics"|"teow"|"150993.893458357"|"150993.538636062"|30202|NULL
30203|"Zambezian Cryptosepalum dry forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|3|"Afrotropics"|"teow"|"38084.6779514974"|"38084.7803864913"|30203|NULL
30701|"Angolan Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"657494.216243281"|"657494.200477569"|30701|NULL
30702|"Angolan Mopane woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"133028.840661457"|"133028.296778332"|30702|NULL
30703|"Ascension scrub and grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"80.7324659336686"|"80.7204162986545"|30703|NULL
30704|"Central Zambezian Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"1179321.25031678"|"1179320.11533703"|30704|NULL
30705|"East Sudanian savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"913711.406362859"|"913705.664660153"|30705|NULL
30706|"Eastern Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"482013.396225972"|"482012.64461927"|30706|NULL
30707|"Guinean forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"670019.181894423"|"670017.909406252"|30707|NULL
30708|"Itigi-Sumbu thicket"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"7809.18690783042"|"7809.12511862204"|30708|NULL
30709|"Kalahari Acacia-Baikiaea woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"334546.964795566"|"334544.812437494"|30709|NULL
30710|"Mandara Plateau mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"7478.52669257691"|"7478.55459235702"|30710|NULL
30711|"Northern Acacia-Commiphora bushlands and thickets"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"324481.994826307"|"324481.543470787"|30711|NULL
30712|"Northern Congolian forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"705016.328719231"|"705006.621401743"|30712|NULL
30713|"Sahelian Acacia savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"3042332.43390974"|"3042347.38082324"|30713|NULL
30714|"Serengeti volcanic grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"17947.5968455431"|"17947.5430201065"|30714|NULL
30715|"Somali Acacia-Commiphora bushlands and thickets"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"1049112.49525934"|"1049108.89865587"|30715|NULL
30716|"Southern Acacia-Commiphora bushlands and thickets"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"226769.606971113"|"226769.681368078"|30716|NULL
30717|"Southern Africa bushveld"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"222539.149807966"|"222541.266675878"|30717|NULL
30718|"Southern Congolian forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"567187.814789248"|"567186.941467041"|30718|NULL
30719|"Southern Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"406922.853809952"|"406915.036253308"|30719|NULL
30720|"St. Helena scrub and woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"113.053807847753"|"113.021731962562"|30720|NULL
30721|"Victoria Basin forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"165041.918696399"|"165042.164724705"|30721|NULL
30722|"West Sudanian savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"1631827.59383685"|"1631819.76572948"|30722|NULL
30723|"Western Congolian forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"411570.597263728"|"411570.722569771"|30723|NULL
30724|"Western Zambezian grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"33889.822008033"|"33889.6721569567"|30724|NULL
30725|"Zambezian and Mopane woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"471864.803469188"|"471871.94607265"|30725|NULL
30726|"Zambezian Baikiaea woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"263553.469430041"|"263554.085215295"|30726|NULL
30801|"Al Hajar montane woodlands"|8|"Temperate Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"25486.4425269349"|"25485.5775529579"|30801|NULL
30802|"Amsterdam and Saint-Paul Islands temperate grasslands"|8|"Temperate Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"50.9684083763837"|"50.9773591228988"|30802|NULL
30803|"Tristan Da Cunha-Gough Islands shrub and grasslands"|8|"Temperate Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"|"69.4362677120385"|"69.4312635084401"|30803|NULL
30901|"East African halophytics"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"2625.76501724138"|"2625.8337134155"|30901|NULL
30902|"Etosha Pan halophytics"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"7208.25175040002"|"7208.2485795181"|30902|NULL
30903|"Inner Niger Delta flooded savanna"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"45868.1157072646"|"45868.1978598588"|30903|NULL
30904|"Lake Chad flooded savanna"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"18761.2079220004"|"18761.0478942354"|30904|NULL
30905|"Saharan flooded grasslands"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"178952.036056318"|"178951.554367782"|30905|NULL
30906|"Zambezian coastal flooded savanna"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"19467.6165653174"|"19467.5379572785"|30906|NULL
30907|"Zambezian flooded grasslands"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"152878.248671592"|"152878.274569256"|30907|NULL
30908|"Zambezian halophytics"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"|"30289.1012337915"|"30289.141955224"|30908|NULL
31001|"Angolan montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"25418.4764145533"|"25418.5420800356"|31001|NULL
31002|"Angolan scarp savanna and woodlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"73976.7255704166"|"73976.8127350694"|31002|NULL
31003|"Drakensberg alti-montane grasslands and woodlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"11893.5661188751"|"11893.5852550193"|31003|NULL
31004|"Drakensberg montane grasslands, woodlands and forests"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"201961.833621748"|"201959.867159202"|31004|NULL
31005|"East African montane moorlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"3273.29311314901"|"3273.35451986068"|31005|NULL
31006|"Eastern Zimbabwe montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"7804.06985936274"|"7803.97033896539"|31006|NULL
31007|"Ethiopian montane grasslands and woodlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"244349.255926362"|"244349.068248766"|31007|NULL
31008|"Ethiopian montane moorlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"25049.1266240648"|"25049.2323613778"|31008|NULL
31009|"Highveld grasslands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"185863.223570365"|"185863.223123337"|31009|NULL
31010|"Jos Plateau forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"13281.3484112629"|"13281.3928008826"|31010|NULL
31011|"Madagascar ericoid thickets"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"1273.46825754255"|"1273.46818539032"|31011|NULL
31012|"Maputaland-Pondoland bushland and thickets"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"19498.5772703966"|"19498.8175343185"|31012|NULL
31013|"Rwenzori-Virunga montane moorlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"2661.31076616024"|"2661.21870878003"|31013|NULL
31014|"South Malawi montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"10191.3507696809"|"10191.4161140524"|31014|NULL
31015|"Southern Rift montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"|"33360.4278064147"|"33360.3531636549"|31015|NULL
31201|"Albany thickets"|12|"Mediterranean Forests, Woodlands & Scrub"|3|"Afrotropics"|"teow"|"17028.4594047403"|"17028.8812813372"|31201|NULL
31202|"Lowland fynbos and renosterveld"|12|"Mediterranean Forests, Woodlands & Scrub"|3|"Afrotropics"|"teow"|"32334.1693795602"|"32337.1287869836"|31202|NULL
31203|"Montane fynbos and renosterveld"|12|"Mediterranean Forests, Woodlands & Scrub"|3|"Afrotropics"|"teow"|"45744.6347999058"|"45744.9037217835"|31203|NULL
31301|"Aldabra Island xeric scrub"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"36.0977749683099"|"36.0202483691659"|31301|NULL
31302|"Arabian Peninsula coastal fog desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"80537.3046695681"|"80511.4427619966"|31302|NULL
31303|"East Saharan montane xeric woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"27774.6035700135"|"27774.5213514745"|31303|NULL
31304|"Eritrean coastal desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"4529.66375128633"|"4529.96751921524"|31304|NULL
31305|"Ethiopian xeric grasslands and shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"152067.661662664"|"152073.015002019"|31305|NULL
31306|"Gulf of Oman desert and semi-desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"61443.3041202506"|"61444.428514625"|31306|NULL
31307|"Hobyo grasslands and shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"25177.3888137895"|"25176.0446681968"|31307|NULL
31308|"Ile Europa and Bassas da India xeric scrub"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"20.1681695755988"|"20.1520417001614"|31308|NULL
31309|"Kalahari xeric savanna"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"586844.851799642"|"586846.105976778"|31309|NULL
31310|"Kaokoveld desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"45025.1184846246"|"45028.2702573831"|31310|NULL
31311|"Madagascar spiny thickets"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"42825.6532441395"|"42826.5964348309"|31311|NULL
31312|"Madagascar succulent woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"79470.8227807233"|"79471.122208496"|31312|NULL
31313|"Masai xeric grasslands and shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"100505.021500551"|"100504.965358287"|31313|NULL
31314|"Nama Karoo"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"350725.3986053"|"350725.682769738"|31314|NULL
31315|"Namib desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"80602.7436790434"|"80602.677265021"|31315|NULL
31316|"Namibian savanna woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"224903.27431386"|"224902.880191992"|31316|NULL
31318|"Socotra Island xeric shrublands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"3732.43171602349"|"3732.45440556467"|31318|NULL
31319|"Somali montane xeric woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"62258.3993995146"|"62258.3802094014"|31319|NULL
31320|"Southwestern Arabian foothills savanna"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"273726.212853998"|"273743.504982419"|31320|NULL
31321|"Southwestern Arabian montane woodlands"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"86632.657572206"|"86628.8531295672"|31321|NULL
31322|"Succulent Karoo"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"|"102396.56519332"|"102396.964186668"|31322|NULL
31401|"Central African mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"|"29043.269860947"|"29044.0056527933"|31401|NULL
31402|"East African mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"|"15335.9843976725"|"15337.5588976163"|31402|NULL
31403|"Guinean mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"|"22334.9014882073"|"22336.6325811758"|31403|NULL
31404|"Madagascar mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"|"5098.56819582141"|"5098.66111854989"|31404|NULL
31405|"Southern Africa mangroves"|14|"Mangroves"|3|"Afrotropics"|"teow"|"969.321663228238"|"969.246539704006"|31405|NULL
40101|"Andaman Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"5383.50500349126"|"5383.98064423184"|40101|NULL
40102|"Borneo lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"425079.086151594"|"425079.311175657"|40102|NULL
40103|"Borneo montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"115078.364784379"|"115078.835285775"|40103|NULL
40104|"Borneo peat swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"66924.184612907"|"66924.2206395718"|40104|NULL
40105|"Brahmaputra Valley semi-evergreen forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"56613.0965267652"|"56612.7852815631"|40105|NULL
40106|"Cardamom Mountains rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"43927.4797267411"|"43928.2307815302"|40106|NULL
40107|"Chao Phraya freshwater swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"38858.3036424004"|"38858.4090306483"|40107|NULL
40108|"Chao Phraya lowland moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"20257.0502805835"|"20257.5437914783"|40108|NULL
40109|"Chin Hills-Arakan Yoma montane forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"29615.7760358236"|"29617.7852087753"|40109|NULL
40110|"Christmas and Cocos Islands tropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"40.191892770185"|"40.1547228065662"|40110|NULL
40111|"Eastern highlands moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"340111.696947274"|"340112.182082902"|40111|NULL
40112|"Eastern Java-Bali montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"15810.5883236155"|"15810.2327231811"|40112|NULL
40113|"Eastern Java-Bali rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"53199.2363494991"|"53198.9620895278"|40113|NULL
40114|"Greater Negros-Panay rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"34190.2427544331"|"34190.9025379459"|40114|NULL
40115|"Himalayan subtropical broadleaf forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"38124.2292207372"|"38124.9731735792"|40115|NULL
40116|"Irrawaddy freshwater swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"15107.0700308217"|"15106.7773248416"|40116|NULL
40117|"Irrawaddy moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"137909.792196247"|"137910.208333936"|40117|NULL
40118|"Jian Nan subtropical evergreen forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"661262.599451695"|"661264.101434565"|40118|NULL
40119|"Kayah-Karen montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"119158.242078552"|"119158.778656188"|40119|NULL
40120|"Lower Gangetic Plains moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"253159.306051631"|"253156.719361409"|40120|NULL
40121|"Luang Prabang montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"71585.0698432958"|"71585.2390381331"|40121|NULL
40122|"Luzon montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"8272.79028291194"|"8272.76604712142"|40122|NULL
40123|"Luzon rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"94142.7138741633"|"94145.7978215553"|40123|NULL
40124|"Malabar Coast moist forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"34591.690434294"|"34594.0464412458"|40124|NULL
40125|"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"289.112039319642"|"289.099987187386"|40125|NULL
40126|"Meghalaya subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"41629.2169089633"|"41629.2901156176"|40126|NULL
40127|"Mentawai Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"6233.76670846062"|"6233.97167999669"|40127|NULL
40128|"Mindanao montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"18120.2337387579"|"18120.2449770432"|40128|NULL
40129|"Mindanao-Eastern Visayas rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"103568.853486497"|"103570.063361801"|40129|NULL
40130|"Mindoro rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"10011.8259324673"|"10011.890631894"|40130|NULL
40131|"Mizoram-Manipur-Kachin rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"135245.695977631"|"135245.852817765"|40131|NULL
40132|"Myanmar coastal rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"65602.9426014336"|"65601.7478278425"|40132|NULL
40133|"Nicobar Islands rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"1312.75009622355"|"1312.91106956459"|40133|NULL
40134|"North Western Ghats moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"48039.7571593763"|"48039.7765808688"|40134|NULL
40135|"North Western Ghats montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"30824.6365544909"|"30824.778704294"|40135|NULL
40136|"Northern Annamites rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"47052.5654342048"|"47052.6142672598"|40136|NULL
40137|"Northern Indochina subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"435869.776626239"|"435869.16140837"|40137|NULL
40138|"Northern Khorat Plateau moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"16794.2982922101"|"16794.2561112252"|40138|NULL
40139|"Northern Thailand-Laos moist deciduous forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"42010.1248190195"|"42009.8799470325"|40139|NULL
40140|"Northern Triangle subtropical forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"53773.5349735981"|"53773.9297381684"|40140|NULL
40141|"Northern Vietnam lowland rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"22422.6891050042"|"22422.6845271697"|40141|NULL
40142|"Orissa semi-evergreen forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"22154.8442492154"|"22155.0259755687"|40142|NULL
40143|"Palawan rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"13889.4108150889"|"13890.2156973345"|40143|NULL
40144|"Peninsular Malaysian montane rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"17097.4947525249"|"17097.5456153154"|40144|NULL
40145|"Peninsular Malaysian peat swamp forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"3609.77065634659"|"3609.79449857407"|40145|NULL
40146|"Peninsular Malaysian rain forests"|1|"Tropical & Subtropical Moist Broadleaf Forests"|4|"IndoMalay"|"teow"|"123916.68530552"|"123919.727618187"|40146|NULL
