"eco_id"|"first_level_code"|"first_level"|"second_level_code"|"second_level"|"third_level_code"|"third_level"|"source"
"30203"|30203|"Zambezian Cryptosepalum dry forests"|2|"Tropical & Subtropical Dry Broadleaf Forests"|3|"Afrotropics"|"teow"
"30701"|30701|"Angolan Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30702"|30702|"Angolan Mopane woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30703"|30703|"Ascension scrub and grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30704"|30704|"Central Zambezian Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30705"|30705|"East Sudanian savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30706"|30706|"Eastern Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30707"|30707|"Guinean forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30708"|30708|"Itigi-Sumbu thicket"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30709"|30709|"Kalahari Acacia-Baikiaea woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30710"|30710|"Mandara Plateau mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30711"|30711|"Northern Acacia-Commiphora bushlands and thickets"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30712"|30712|"Northern Congolian forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30713"|30713|"Sahelian Acacia savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30714"|30714|"Serengeti volcanic grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30715"|30715|"Somali Acacia-Commiphora bushlands and thickets"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30716"|30716|"Southern Acacia-Commiphora bushlands and thickets"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30717"|30717|"Southern Africa bushveld"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30718"|30718|"Southern Congolian forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30719"|30719|"Southern Miombo woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30720"|30720|"St. Helena scrub and woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30721"|30721|"Victoria Basin forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30722"|30722|"West Sudanian savanna"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30723"|30723|"Western Congolian forest-savanna mosaic"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30724"|30724|"Western Zambezian grasslands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30725"|30725|"Zambezian and Mopane woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30726"|30726|"Zambezian Baikiaea woodlands"|7|"Tropical & Subtropical Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30801"|30801|"Al Hajar montane woodlands"|8|"Temperate Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30802"|30802|"Amsterdam and Saint-Paul Islands temperate grasslands"|8|"Temperate Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30803"|30803|"Tristan Da Cunha-Gough Islands shrub and grasslands"|8|"Temperate Grasslands, Savannas & Shrublands"|3|"Afrotropics"|"teow"
"30901"|30901|"East African halophytics"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30902"|30902|"Etosha Pan halophytics"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30903"|30903|"Inner Niger Delta flooded savanna"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30904"|30904|"Lake Chad flooded savanna"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30905"|30905|"Saharan flooded grasslands"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30906"|30906|"Zambezian coastal flooded savanna"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30907"|30907|"Zambezian flooded grasslands"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"30908"|30908|"Zambezian halophytics"|9|"Flooded Grasslands & Savannas"|3|"Afrotropics"|"teow"
"31001"|31001|"Angolan montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31002"|31002|"Angolan scarp savanna and woodlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31003"|31003|"Drakensberg alti-montane grasslands and woodlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31004"|31004|"Drakensberg montane grasslands, woodlands and forests"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31005"|31005|"East African montane moorlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31006"|31006|"Eastern Zimbabwe montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31007"|31007|"Ethiopian montane grasslands and woodlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31008"|31008|"Ethiopian montane moorlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31009"|31009|"Highveld grasslands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31010"|31010|"Jos Plateau forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31011"|31011|"Madagascar ericoid thickets"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31012"|31012|"Maputaland-Pondoland bushland and thickets"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31013"|31013|"Rwenzori-Virunga montane moorlands"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31014"|31014|"South Malawi montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31015"|31015|"Southern Rift montane forest-grassland mosaic"|10|"Montane Grasslands & Shrublands"|3|"Afrotropics"|"teow"
"31201"|31201|"Albany thickets"|12|"Mediterranean Forests, Woodlands & Scrub"|3|"Afrotropics"|"teow"
"31202"|31202|"Lowland fynbos and renosterveld"|12|"Mediterranean Forests, Woodlands & Scrub"|3|"Afrotropics"|"teow"
"31203"|31203|"Montane fynbos and renosterveld"|12|"Mediterranean Forests, Woodlands & Scrub"|3|"Afrotropics"|"teow"
"31301"|31301|"Aldabra Island xeric scrub"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
"31302"|31302|"Arabian Peninsula coastal fog desert"|13|"Deserts & Xeric Shrublands"|3|"Afrotropics"|"teow"
